"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Theophylline|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Theophylline|Fraction excreted to urine"
7,3720,0.394551,0.3259057
7,3780,0.3666759,0.3261718
7,3840,0.3407702,0.3264191
7,3900,0.3166948,0.3266489
7,3960,0.2943203,0.3268625
7,4020,0.2735265,0.3270609
7,4080,0.2542018,0.3272454
7,4140,0.2362424,0.3274168
7,4200,0.2195519,0.3275761
7,4260,0.2040405,0.3277242
7,4320,0.189625,0.3278618
8,0,0,0
8,60,23.60181,0.01177725
8,120,22.64775,0.02333508
8,180,21.94604,0.03448014
8,240,21.41338,0.04533841
8,300,20.86026,0.05592977
8,360,20.24982,0.06622212
8,420,19.58875,0.07618886
8,480,18.88444,0.08580705
8,540,18.14479,0.09505769
8,600,17.37808,0.1039259
8,660,16.59261,0.1124009
8,720,15.79652,0.1204762
8,780,14.99743,0.1281492
8,840,14.20233,0.1354208
8,900,13.41741,0.1422954
8,960,12.64804,0.1487798
8,1020,11.89871,0.1548837
8,1080,11.17306,0.1606184
8,1140,10.47394,0.1659969
8,1200,9.803478,0.1710334
8,1260,9.163148,0.1757428
8,1320,8.553844,0.1801406
8,1380,7.975974,0.1842427
8,1440,7.42953,0.1880648
8,1500,6.91416,0.1916228
8,1560,6.429238,0.194932
8,1620,5.973921,0.1980075
8,1680,5.547196,0.2008639
8,1740,5.147933,0.2035151
8,1800,4.774916,0.2059746
8,1860,4.426875,0.2082551
8,1920,4.102515,0.2103688
8,1980,3.800539,0.212327
8,2040,3.519656,0.2141408
8,2100,3.258607,0.2158201
8,2160,3.016163,0.2173746
8,2220,2.79114,0.2188132
8,2280,2.582403,0.2201443
8,2340,2.388868,0.2213757
8,2400,2.209507,0.2225147
8,2460,2.043342,0.2235681
8,2520,1.889457,0.2245422
8,2580,1.746983,0.2254429
8,2640,1.615111,0.2262756
8,2700,1.493077,0.2270454
8,2760,1.380171,0.2277569
8,2820,1.275727,0.2284147
8,2880,1.179127,0.2290227
8,2940,1.089792,0.2295846
8,3000,1.007187,0.2301039
8,3060,0.9308111,0.2305838
8,3120,0.8602015,0.2310274
8,3180,0.7949278,0.2314373
8,3240,0.7345906,0.231816
8,3300,0.6788201,0.2321661
8,3360,0.6272731,0.2324895
8,3420,0.5796318,0.2327884
8,3480,0.5356021,0.2330646
8,3540,0.4949115,0.2333198
8,3600,0.4573078,0.2335556
8,3660,0.4225577,0.2337735
8,3720,0.3904454,0.2339748
8,3780,0.3607713,0.2341608
8,3840,0.3333506,0.2343327
8,3900,0.3080126,0.2344915
8,3960,0.2845994,0.2346383
8,4020,0.2629649,0.2347739
8,4080,0.2429744,0.2348992
8,4140,0.2245029,0.2350149
8,4200,0.2074352,0.2351219
8,4260,0.1916646,0.2352207
8,4320,0.1770928,0.235312
9,0,0,0
9,60,29.40405,0.007451841
9,120,26.67837,0.01535829
9,180,23.8846,0.02238441
9,240,21.38668,0.02867352
9,300,19.16053,0.03430715
9,360,17.17271,0.03935586
9,420,15.39453,0.04388158
9,480,13.80176,0.047939
9,540,12.37371,0.05157664
9,600,11.09254,0.05483774
9,660,9.9427,0.05776093
9,720,8.910548,0.06038079
9,780,7.984007,0.06272837
9,840,7.15234,0.06483154
9,900,6.405958,0.06671534
9,960,5.736265,0.06840231
9,1020,5.135539,0.06991269
9,1080,4.596829,0.07126471
9,1140,4.113875,0.07247476
9,1200,3.681031,0.07355753
9,1260,3.29321,0.07452627
9,1320,2.945822,0.07539285
9,1380,2.634732,0.07616795
9,1440,2.356214,0.07686114
9,1500,2.106912,0.07748099
9,1560,1.883808,0.07803524
9,1620,1.684186,0.07853075
9,1680,1.505603,0.07897373
9,1740,1.345866,0.07936972
9,1800,1.203005,0.07972369
9,1860,1.075253,0.08004007
9,1920,0.9610244,0.08032285
9,1980,0.8588963,0.08057557
9,2040,0.7675948,0.08080143
